"https://openalex.org/T11475", "Social Sciences", "Social Sciences", "Sociology and Political Science", "Territorial Governance and Environmental Participation", "609884", "373237"
"https://openalex.org/T13445", "Social Sciences", "Social Sciences", "Political Science and International Relations", "American Political Thought and History", "442690", "726656"
"https://openalex.org/T10165", "Social Sciences", "Social Sciences", "Anthropology", "Society and Economy in Ancient Mediterranean Civilizations", "389135", "706106"
"https://openalex.org/T10362", "Social Sciences", "Arts and Humanities", "Religious studies", "Biblical Studies and Christian Theology", "326074", "422068"
"https://openalex.org/T13641", "Social Sciences", "Arts and Humanities", "History and Philosophy of Science", "History of Science and Technology", "323139", "177466"
"https://openalex.org/T11893", "Social Sciences", "Arts and Humanities", "Literature and Literary Theory", "Literary Studies and Criticism", "322724", "85846"
"https://openalex.org/T13624", "Social Sciences", "Social Sciences", "General Social Sciences", "Social Work in Spanish-Speaking Countries", "315325", "166944"
"https://openalex.org/T13396", "Life Sciences", "Agricultural and Biological Sciences", "Ecology, Evolution, Behavior and Systematics", "Evolution and Sustainability of Livestock Farming Systems", "286151", "280399"
"https://openalex.org/T13532", "Social Sciences", "Social Sciences", "Education", "Vocational Education and Training in Australia", "284273", "681664"
"https://openalex.org/T10893", "Social Sciences", "Social Sciences", "Sociology and Political Science", "Religious Diversity and Regulation in Chinese Society", "279659", "303978"
"https://openalex.org/T13710", "Social Sciences", "Social Sciences", "Political Science and International Relations", "Judicial Review in European Legal Systems", "279104", "175620"
"https://openalex.org/T10995", "Physical Sciences", "Environmental Science", "Environmental Chemistry", "Anaerobic Methane Oxidation and Gas Hydrates", "269244", "1193983"
"https://openalex.org/T10017", "Physical Sciences", "Earth and Planetary Sciences", "Atmospheric Science", "Climate Change and Paleoclimatology", "268548", "4584676"
"https://openalex.org/T10325", "Physical Sciences", "Physics and Astronomy", "Astronomy and Astrophysics", "Formation and Evolution of the Solar System", "262947", "2094960"
"https://openalex.org/T10908", "Physical Sciences", "Chemistry", "Spectroscopy", "Chiral Separation in Chromatography", "260075", "3083406"
"https://openalex.org/T11857", "Social Sciences", "Arts and Humanities", "Archeology", "Archaeology of the Iberian Peninsula", "255181", "111299"
"https://openalex.org/T10391", "Social Sciences", "Economics, Econometrics and Finance", "Economics and Econometrics", "Economics of Health Care Systems and Policies", "253942", "1264698"
"https://openalex.org/T13085", "Social Sciences", "Social Sciences", "Education", "Pedagogical and Educational Research", "252587", "21371"
"https://openalex.org/T13602", "Physical Sciences", "Computer Science", "Information Systems", "Enhancing Digital Literacy through Education", "252427", "107815"
"https://openalex.org/T12021", "Social Sciences", "Social Sciences", "Education", "Research Methodology in Social Sciences and Education", "250967", "106533"
"https://openalex.org/T12409", "Social Sciences", "Arts and Humanities", "History", "Reformation Studies in Early Modern Europe", "249043", "234742"
"https://openalex.org/T13275", "Health Sciences", "Medicine", "Public Health, Environmental and Occupational Health", "Ethical and Legal Issues in Medicine", "243653", "99194"
"https://openalex.org/T12954", "Social Sciences", "Social Sciences", "Law", "Evolution of Legal Systems and Jurisprudence", "232854", "62049"
"https://openalex.org/T12618", "Life Sciences", "Agricultural and Biological Sciences", "Plant Science", "Diversity and Conservation of Vascular Plants in Central Europe", "231948", "557264"
"https://openalex.org/T10048", "Physical Sciences", "Physics and Astronomy", "Nuclear and High Energy Physics", "Particle Physics and High-Energy Collider Experiments", "227403", "3373355"
"https://openalex.org/T13033", "Social Sciences", "Social Sciences", "Urban Studies", "Role of Social Innovation in Territorial Development", "223702", "166677"
"https://openalex.org/T10351", "Health Sciences", "Medicine", "Epidemiology", "Epidemiology and Management of NAFLD", "222501", "2724868"
"https://openalex.org/T14162", "Social Sciences", "Social Sciences", "Anthropology", "Economy and Society in Ancient Rome", "219774", "147435"
"https://openalex.org/T13372", "Social Sciences", "Arts and Humanities", "Archeology", "Ancient Near Eastern Archaeology and History", "218506", "274569"
"https://openalex.org/T10001", "Physical Sciences", "Earth and Planetary Sciences", "Geophysics", "Tectonic and Geochronological Evolution of Orogens", "218007", "5968687"
