NAME,BW logo URL,White on Black,Theme color,Theme Image,
reneault,https://logowik.com/content/uploads/images/renault-new-black5686.logowik.com.webp,,,,
Novo Nordisk,,,,,🇩🇰 Denmark
LVMH,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/LVMH-black.png/1200px-LVMH-black.png,,,,🇫🇷 France
ASML,,,,,🇳🇱 Netherlands
SAP,https://theartian.com/wp-content/uploads/2021/05/SAP-LOGO-BLACK.png,,,,🇩🇪 Germany
Hermès,https://i.pinimg.com/originals/e2/26/64/e2266418052fc44184aa196d239861e5.jpg,TRUE,,,🇫🇷 France
L'Oréal,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/L%27Or%C3%A9al_logo.svg/2560px-L%27Or%C3%A9al_logo.svg.png,,,,🇫🇷 France
Accenture,https://wallpapers.com/images/hd/accenture-company-logo-ned0jvhme6uf6myk-2.jpg,TRUE,,,🇮🇪 Ireland
Prosus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRs-kmK_XbRm6KbNUgZONZvEhcWE_jMXmFieQ&s,TRUE,,,🇳🇱 Netherlands
TotalEnergies,https://worldroadstatistics.org/wp-content/uploads/2023/01/totalenergies-whitelogo.png,TRUE,,,🇫🇷 France
Inditex,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Inditex_logo_black.svg/1200px-Inditex_logo_black.svg.png,,,,🇪🇸 Spain
Siemens,https://cdn.freebiesupply.com/images/large/2x/siemens-logo-black-and-white.png,,,,🇩🇪 Germany
Deutsche Telekom,https://www.amcham.hu/sites/default/files/styles/max_325x325/public/2022-07/T_logo_rgb_k.png?itok=OTcKLq5y,,,,🇩🇪 Germany
Sanofi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfHzGrDPbl69y9r_ISwykaezZaOStjWwN5Tw&s,,,,🇫🇷 France
Schneider Electric,https://banner2.cleanpng.com/20180528/cee/avqvayqae.webp,,,,🇫🇷 France
Anheuser-Busch Inbev,https://www.tvisioninsights.com/hubfs/2022%20Assets%20TMK/Logo-Jun_02-Anheuser-Busch_InBev.png,TRUE,,,🇧🇪 Belgium
Eaton,https://cdn.worldvectorlogo.com/logos/eaton.svg,,,,🇮🇪 Ireland
Airbus,https://i.pinimg.com/736x/fa/a7/11/faa711c479d764c5f8ab1269ffbadc0a.jpg,,,,🇳🇱 Netherlands
Dior,https://i.pinimg.com/originals/3c/c6/08/3cc6083de740c085fef611885fb9f654.jpg,TRUE,,,🇫🇷 France
Allianz,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfRdieWd9lZ_Wyfgi8UCR2HjhDuWTVPoFVUw&s,,,,🇩🇪 Germany
Medtronic,https://casetool.medtronic.com/assets/images/art-logo-rgb-w-png.png,TRUE,,,🇮🇪 Ireland
EssilorLuxottica,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Logo_EssilorLuxottica.svg/2560px-Logo_EssilorLuxottica.svg.png,,,,🇫🇷 France
Air Liquide,https://www.francois-soualhi.com/wp-content/uploads/2020/08/Air-Liquide-black.png,TRUE,,,🇫🇷 France
Safran,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXYTnchfy5cW87NDXJSP7COkeVIUvJlCEKQg&s,TRUE,,,🇫🇷 France
Iberdrola,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTjV5EbVUjVpcrx0p8MjJJu_96BzRQshsUs11W0pimoRPyKHiFF,,,,🇪🇸 Spain
Investor AB,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/logotype-v3/image_uploads/206243cb-014f-4a8a-ae12-7911025d12f1/original.png,TRUE,,,🇸🇪 Sweden
Atlas Copco,https://mining.com/wp-content/uploads/2017/11/d.png,,,,🇸🇪 Sweden
AXA,https://iconape.com/wp-content/files/fg/26051/svg/axa-company.svg,,,,🇫🇷 France
Merck KGaA,https://logosenvector.com/logo/img/merck-2226.jpg,,,,🇩🇪 Germany
Ferrari,https://jetpunk.b-cdn.net/img/user-photo-library/6d/6d2e3b3fef-450.jpg,TRUE,,,🇮🇹 Italy
Trane Technologies,https://s.yimg.com/ny/api/res/1.2/54qzW_8ovak3k9I5EF6JpA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD00MTg-/https://media.zenfs.com/en/business-wire.com/0b61d3bd939bc038bca4f7eedd7cdbee,,,,🇮🇪 Ireland
BNP Paribas,https://edgefolio.com/wp-content/uploads/2024/05/bnp-logo-white.png,TRUE,,,🇫🇷 France
Enel,https://www.ci-portal.de/wp-content/uploads/enel.jpg,TRUE,,,🇮🇹 Italy
Santander,https://suade.org/content/images/2024/02/santander_logo.png,TRUE,,,🇪🇸 Spain
Intesa Sanpaolo,https://www.adidesignmuseum.org/wp-content/uploads/2023/04/INTESA_SANPAOLO_rinforzato_NERO_volley-1024x115.jpg,,,,🇮🇹 Italy
Mercedes-Benz,https://pbs.twimg.com/profile_images/194400600/MBlogohvitsort_400x400.jpg,TRUE,,,🇩🇪 Germany
Spotify,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS93Wr6oqLlvn7PEypbAR0cO22gRB-oudxgJQ&s,,,,🇸🇪 Sweden
Porsche,https://villageautomotive.com/wp-content/uploads/Porsche-White-OEM-Logo.png,TRUE,,,🇩🇪 Germany
Vinci,https://companieslogo.com/img/orig/DG.PA_BIG.D-8db617a1.png?t=1720244491,TRUE,,,🇫🇷 France
Munich RE,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSAbWA8fxyNXcqENkAVmjkF_sfuScK3wnmxV4PNrSXnwn2cpZ3S,,,,🇩🇪 Germany
NXP Semiconductors,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9xyFwLNOC8JRUOFc4bnu984rlYSUBIAIAow&s,TRUE,,,🇳🇱 Netherlands
Siemens Healthineers,https://marvel-b1-cdn.bc0a.com/f00000000004333/www.zuora.com/wp-content/uploads/2020/12/Siemens-Healthineers-White-Logo-1280x299.png,TRUE,,,🇩🇪 Germany
UniCredit,https://cdn.prod.website-files.com/65f9d6e83f4e9e35d6d95289/661e422bdd313eee71d51ef9_Unicredit.png,TRUE,,,🇮🇹 Italy
Banco Bilbao Vizcaya Argentaria,https://meinthesky.com/wp-content/uploads/2018/01/bbva_logo.png,TRUE,,,🇪🇸 Spain
Cement Roadstone Holding,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT7lkOIuFhidWw5kGfAyUUq8OLYHZorvcFPMbti3ZAJ8ehr71B-,,,,🇮🇪 Ireland
BMW,https://i.pinimg.com/originals/ac/a8/6e/aca86eb176ab64c634b2619c8086f69d.jpg,,,,🇩🇪 Germany
ING,https://cdn.freebiesupply.com/images/large/2x/ing-logo-black-and-white.png,,,,🇳🇱 Netherlands
Volkswagen,https://cdn.freebiesupply.com/logos/large/2x/volkswagen-1-logo-black-and-white.png,,,,🇩🇪 Germany
Volvo Group,https://static.matchwork.com/company/logo/DK/new1716389566_logo_small.png,,,,🇸🇪 Sweden
ENI,https://seeklogo.com/images/E/eni-logo-005CBDC522-seeklogo.com.png,,,,🇮🇹 Italy
Heineken,https://brandslogos.com/wp-content/uploads/images/large/heineken-logo-black-and-white-1.png,,,,🇳🇱 Netherlands
Dassault Systèmes,https://companieslogo.com/img/orig/DSY.PA_BIG.D-f1789d0b.png?t=1720244491,TRUE,,,🇫🇷 France
DHL Group (Deutsche Post),https://files.survalyzer.eu/files/dpdhl/Shared/Images/DHL_Group_logo_rgb_black.png?sv=2022-11-02&se=2123-07-17T00%3A00%3A00Z&sr=b&sp=r&sig=s5Qw%2FccJOs%2BSWnaCwo98mCiUYgluJJ1exCLNvNdwOiM%3D,,,,🇩🇪 Germany
Stellantis,https://arenha.eu/wp-content/uploads/2023/05/Logo_Stellantis_White_500x116.jpg,,,,🇳🇱 Netherlands
Johnson Controls,https://www.matternow.com/wp-content/uploads/2022/06/JCI-Logo-White.png,TRUE,,,🇮🇪 Ireland
Universal Music Group,https://upload.wikimedia.org/wikipedia/commons/c/c4/Universal_Music_Group_logo.svg,,,,🇳🇱 Netherlands
Crédit Agricole,https://companieslogo.com/img/orig/ACA.PA.D-08b1dc36.png?t=1720244490,TRUE,,,🇫🇷 France
Infineon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSqBqT6bbd-VZ_F0BbB7TUwcG5gh-KO-SRrg&s,TRUE,,,🇩🇪 Germany
Danone,https://home.messagexchange.com/wp-content/uploads/2019/08/Danone-logo-white.png,TRUE,,,🇫🇷 France
Adidas,https://static.euronews.com/articles/stories/08/30/56/48/1200x675_cmsv2_91d4f3ef-cbc9-543f-a310-5a68cfd56c27-8305648.jpg,TRUE,,,🇩🇪 Germany
Experian,https://www.precisely.com/app/uploads/2022/10/cs-experian-white.png,TRUE,,,🇮🇪 Ireland
ENGIE,https://b2747165.smushcdn.com/2747165/wp-content/uploads/2023/04/engiewhitelogo.png?lossy=2&strip=1&webp=1,TRUE,,,🇫🇷 France
BASF,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoEviLZHnu1OtClpR5G9IjoI1R3jR0dimY0A&s,,,,🇩🇪 Germany
Compagnie de Saint-Gobain,https://www.thebesmartproject.eu/sites/default/files/styles/logo/public/2019-02/logo-saint-gobain-black.png?itok=ElT4D8Uq,,,,🇫🇷 France
CaixaBank,https://themilk.es/wp-content/uploads/2020/11/CaixaBank.jpg,TRUE,,,🇪🇸 Spain
Nordea Bank,https://cdn.videosync.fi/events/nordea/common/logos/nordea_white.png,TRUE,,,🇫🇮 Finland
