RANK by cap,SYMBOL,MARKET CAP,PRICE,CHANGE 1D,TRADING VOLUME,NAME,BW logo URL,White on Black,Theme color,Theme Image
3,NVDA,"2,579.67B",104.97,6.13%,"384,513,076",NVIDIA,https://investcurb.com/images/2023/07/08/nvidia.jpg,TRUE,green,silicon
43,INTC,87.62B,20.49,7.90%,"95,573,016",Intel ,,,,silicon
155,WBD,17.21B,7.02,-8.95%,"70,661,221",Warner Bros. Discovery,,,,silicon
9,TSLA,635.22B,198.84,3.69%,"63,967,317",Tesla,,,,silicon
166,HOOD,15.68B,17.73,3.56%,"48,328,771",Robinhood Markets,https://companieslogo.com/img/orig/HOOD-3f9aec90.png?t=1720244492,,,silicon
17,AMD,220.63B,136.32,5.95%,"48,316,350",Advanced Micro Devices,https://w7.pngwing.com/pngs/125/529/png-transparent-advanced-micro-devices-inc-v-intel-corp-central-processing-unit-openacc-intel-angle-text-triangle.png,,,silicon
1,AAPL,"3,243.19B",213.31,1.66%,"44,537,549",Apple,,,,silicon
6,AMZN,"1,740.16B",165.8,1.86%,"43,980,419",Amazon,,,,silicon
327,AAL,6.49B,9.89,6.80%,"34,514,004",American Airlines,,,,silicon
385,MARA,5.12B,17.39,9.79%,"33,154,227",Marathon Digital ,https://d1io3yog0oux5.cloudfront.net/_41bf32252b8ff532f963c37a5a9259b3/marathondh/db/469/6887/image.svg,,,silicon
175,RIVN,14.84B,14.72,6.78%,"32,476,753",Rivian Automotive,https://upload.wikimedia.org/wikipedia/commons/c/ca/Rivian_Logo_Black.png,,,silicon
438,LYFT,4.13B,10.07,10.90%,"27,741,813",Lyft,https://i.pinimg.com/736x/46/c5/ff/46c5ff2bd12e7bbc1532f966bd5914b0.jpg,,,silicon
299,SOFI,7.08B,6.64,5.06%,"27,289,796",SoFi Technologies,https://www.sec.gov/Archives/edgar/data/1742912/000089418921002046/sofilogo1.jpg,,,silicon
73,MNST,44.26B,45.01,-10.93%,"27,081,385",Monster Beverage ,https://www.pngall.com/wp-content/uploads/5/Monster-PNG.png,,,silicon
8,AVGO,678.40B,145.74,6.95%,"26,762,356",Broadcom,,,,silicon
292,LCID,7.30B,3.15,8.25%,"25,955,861",Lucid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvs2bOhkGBQjXyR3duvopH9BjXcrUHAFrb0Q&s,,,silicon
5,GOOGL,"1,994.59B",162.03,1.94%,"25,288,177",Alphabet,https://1000logos.net/wp-content/uploads/2019/12/Alphabet-Logo.jpg,TRUE,,silicon
200,GRAB,12.77B,3.23,1.89%,"24,273,073",Grab ,https://companieslogo.com/img/orig/GRAB_BIG.D-21864850.png?t=1720244492,TRUE,,silicon
38,MU,102.09B,92.07,6.07%,"23,992,099",Micron Technology,https://cdn.freebiesupply.com/logos/large/2x/micron-technology-logo-black-and-white.png,,,silicon
130,ERIC,22.21B,6.72,2.13%,"23,247,828",Ericsson,https://companieslogo.com/img/orig/ERIC_BIG.D-a6e54d97.png?t=1720244491,TRUE,,silicon
2,MSFT,"2,993.21B",402.69,1.07%,"18,627,330",Microsoft ,,,,silicon
