,rank,NAME,BW logo URL,White on Black,Theme color,Theme Image,Country
,1,Eli Lilly,https://www.pngkey.com/png/full/216-2163239_lilly-logo-eli-lilly-and-company.png,TRUE,,,🇺🇸 USA
,2,Novo Nordisk,,,,,🇩🇰 Denmark
,3,Johnson & Johnson,,,,,🇺🇸 USA
,4,AbbVie,,,,,🇺🇸 USA
,5,Merck,,,,,🇺🇸 USA
,6,Roche,,,,,🇨🇭 Switzerland
,7,AstraZeneca,,,,,🇬🇧 UK
,8,Novartis,,,,,🇨🇭 Switzerland
,9,Amgen,https://lh6.googleusercontent.com/proxy/oC3fsApJ6iIdZyK-dOCYE0JTeStuybtFbvu8bNAXf5L83yBip4Ce5bCGPmi9G8y6yUjV3Gk-t6tSwIYfxNEV-csf_blE8gvxfr8LcnD3d1SxV84Zyck,,,,🇺🇸 USA
,10,Pfizer,,,,,🇺🇸 USA
,11,Sanofi,,,,,🇫🇷 France
,12,Regeneron Pharmaceuticals,https://cdn.cookielaw.org/logos/df5f6708-6e7d-4110-a239-60f9733416f1/4d957ccf-c23f-449c-8e19-d821c9a6599c/5c2b6d7b-c36f-4341-8e32-9bec8a605246/regeneronlogo.png,,,,🇺🇸 USA
,13,Vertex Pharmaceuticals,https://p7.hiclipart.com/preview/251/586/548/vertex-pharmaceuticals-nasdaq-vrtx-pharmaceutical-drug-company-biotechnology-others.jpg,,,,🇺🇸 USA
,114,Bristol-Myers Squibb,,,,,🇺🇸 USA
,115,CSL,https://mma.prnewswire.com/media/1173050/CSLTM_RGB_Logo.jpg?w=300,,,,🇦🇺 Australia
,16,Gilead Sciences,,,,,🇺🇸 USA
,17,Zoetis,https://wearecmyk.com/wp-content/uploads/2022/12/Zoetis-logo-SVG-RGB.png,TRUE,,,🇺🇸 USA
,18,GlaxoSmithKline,https://static.wikia.nocookie.net/logopedia/images/a/aa/GSK_logo_2014_%28print%29.svg/revision/latest/scale-to-width-down/250?cb=20240414044323,,,,🇬🇧 UK
,19,Merck KGaA,https://inno3.fr/wp-content/uploads/2022/07/langfr-2880px-Logo_Merck_KGaA_2015.svg-1568x253.png,,,,🇩🇪 Germany
,120,Daiichi Sankyō,https://uspto.report/TM/97099574/mark.png,,,,🇯🇵 Japan
,121,CVS Health,,,,,🇺🇸 USA
,22,Chugai Pharmaceutical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyzBI481UuLM4L1zOstT0k2S0HW2aQAZV4-v11QDLrlOd3OBLNpGnq0OoIvXotR8mgMo8&usqp=CAU,,,,🇯🇵 Japan
,23,Sun Pharmaceutical,https://media.licdn.com/dms/image/D4D22AQFtGPqTBC7NDA/feedshare-shrink_2048_1536/0/1713190956912?e=2147483647&v=beta&t=2DIdhXXJikWrI1Gq4Kr632ejBySxVHz5uq0va0KRJxA,,,,🇮🇳 India
,24,Lonza,https://images.squarespace-cdn.com/content/v1/6363da0c2a598338482372ad/95724293-a6f0-4e1f-a7d5-a4eb89637542/Lonza.png,,,,🇨🇭 Switzerland
,25,Takeda Pharmaceutical,https://www.unbridled.com/wp-content/uploads/2021/02/Takeda-Logo-White.png,TRUE,,,🇯🇵 Japan
,26,Jiangsu Hengrui Medicine,https://upload.wikimedia.org/wikipedia/commons/e/ea/Jiangsu_Hengrui_Pharmaceuticals.png,,,,🇨🇳 China
,27,Alnylam Pharmaceuticals,https://companieslogo.com/img/orig/ALNY_BIG.D-689884a6.png?t=1720244490,,,,🇺🇸 USA
,128,UCB,https://seeklogo.com/images/U/UCB_Pharma-logo-4F3EEA0FC9-seeklogo.com.png,,,,🇧🇪 Belgium
,129,Argenx,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Argenx_logo.jpeg/800px-Argenx_logo.jpeg,,,,🇳🇱 Netherlands
,230,Moderna,https://a.storyblok.com/f/234030/581x192/c4666f8c9e/moderna-logo_light.png/m/581x192,TRUE,,,🇺🇸 USA
,131,Biogen,https://www.thinkfa.com/wp-content/uploads/2023/12/biogen.png,TRUE,,,🇺🇸 USA
,132,Celltrion,https://media.licdn.com/dms/image/D5622AQEvj1ChnubbpQ/feedshare-shrink_2048_1536/0/1708513868484?e=2147483647&v=beta&t=TAqV5xOXT_PPZqVfpglNiueqzg3iPO3qn4Nu6RgG538,,,,🇰🇷 S. Korea
,33,Otsuka Holdings,https://companieslogo.com/img/orig/4578.T_BIG.D-5196ca9b.png?t=1720244490,TRUE,,,🇯🇵 Japan
,34,Bayer,https://companieslogo.com/img/orig/BAYN.DE.D-e80a3425.png?t=1720244490,TRUE,,,🇩🇪 Germany
,35,ICON plc,https://www.johnsonhana.com/wp-content/uploads/2022/02/ICON-plc-Logo-SVG-black.png,TRUE,,,🇮🇪 Ireland
,36,West Pharmaceutical,https://companieslogo.com/img/orig/WST_BIG.D-4189159f.png?t=1720244494,,,,🇺🇸 USA
,37,BeiGene,https://companieslogo.com/img/orig/BGNE-a692560d.png?t=1720244491,,,,🇨🇳 China
,38,Astellas Pharma,https://seeklogo.com/images/A/astellas-pharma-logo-D5CCB5DF64-seeklogo.com.png,,,,🇯🇵 Japan
,139,BioNTech,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQK2XrKCqR0nRIgaJFWUcbzi5i5UrvG3qL198EDSImXz9YrEH8h,,,,🇩🇪 Germany
,140,Teva Pharmaceutical Industries,https://companieslogo.com/img/orig/TEVA_BIG.D-79fadcc2.png?t=1720244494,TRUE,,,🇮🇱 Israel
,41,LabCorp,https://mediakit.labcorp.com/Labcorp_Logo_Horizontal_Black_RGB.png,,,,🇺🇸 USA
,142,Sandoz Group,https://companieslogo.com/img/orig/SDZ.SW_BIG.D-1c93d1be.png?t=1720244493,TRUE,,,🇨🇭 Switzerland
,143,Baxter,https://cdn.cookielaw.org/logos/62c73e36-7fb0-4370-957e-89d3852381b0/0ca1e1a2-7b61-4a51-bbd3-121370c575e6/wordmark600_white_300dpi.png,TRUE,,,🇺🇸 USA
,44,BioMarin Pharmaceutical,https://companieslogo.com/img/orig/BMRN.D-6928851a.png?t=1720244491,TRUE,,,🇺🇸 USA
,45,Genmab,https://companieslogo.com/img/orig/GMAB_BIG.D-43445778.png?t=1720244492,TRUE,,,🇩🇰 Denmark
,46,WuXi AppTec,https://companieslogo.com/img/orig/2359.HK.D-cf6ce99f.png?t=1720244490,TRUE,,,🇨🇳 China
,47,Royalty Pharma,https://companieslogo.com/img/orig/RPRX.D-6e127a7e.png?t=1720244493,TRUE,,,🇬🇧 UK
,48,Divis Laboratories,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Divi%27s_Laboratories_Logo.svg/250px-Divi%27s_Laboratories_Logo.svg.png,,,,🇮🇳 India
,249,Neurocrine Biosciences,https://companieslogo.com/img/orig/NBIX.D-a3bc5a83.png?t=1720244493,TRUE,,,🇺🇸 USA
,150,Cipla,https://ciplaleuprolide.com/wp-content/uploads/2022/01/Cipla-KO-Logo.png,TRUE,,,🇮🇳 India
,151,United Therapeutics,https://companieslogo.com/img/orig/UTHR.D-9768fb46.png?t=1720244494,TRUE,,,🇺🇸 USA
,252,Zydus Lifesciences,https://companieslogo.com/img/orig/ZYDUSLIFE.NS-ed3a9e6f.png?t=1720244494,,,,🇮🇳 India
,53,Hansoh Pharma,https://companieslogo.com/img/orig/3692.HK-96267e94.png?t=1720244490,,,,🇨🇳 China
,154,Dr. Reddy's,https://companieslogo.com/img/orig/RDY.D-7d93fc0a.png?t=1720244493,TRUE,,,🇮🇳 India
,155,Viatris,https://companieslogo.com/img/orig/VTRS.D-d77b5de3.png?t=1720244494,TRUE,,,🇺🇸 USA
,56,Torrent Pharmaceuticals,https://companieslogo.com/img/orig/TORNTPOWER.NS.D-bb7b6a2f.png?t=1720244494,TRUE,,,🇮🇳 India
,57,Insmed,https://www.aboutntm.com/_assets/img/Icon-Insmed-logo.png,TRUE,,,🇺🇸 USA
,258,Sarepta Therapeutics,,,,,🇺🇸 USA
,159,Shionogi,https://upload.wikimedia.org/wikipedia/commons/8/89/Shionogi_Seiyaku_logo.svg,,,,🇯🇵 Japan
,160,Medpace,https://iconape.com/wp-content/files/zf/261290/svg/medpace-logo-logo-icon-png-svg.png,,,,🇺🇸 USA
,61,Incyte,https://companieslogo.com/img/orig/INCY.D-09028ed2.png?t=1720244492,,,,🇺🇸 USA
,262,Bio-Techne,https://www.bio-techne401k.com/wps/wcm/connect/e57f9a6f-5f9f-45e8-81f0-e1bc0678c998/1/BT-logo-white.png?MOD=AJPERES,TRUE,,,🇺🇸 USA
,63,Lupin Limited,https://companieslogo.com/img/orig/LUPIN.NS.D-bcc9235d.png?t=1720774266,TRUE,,,🇮🇳 India
,264,Alteogen,https://companieslogo.com/img/orig/196170.KQ-0ed8f914.png?t=1720617866,,,,🇰🇷 S. Korea
,65,Recordati,https://companieslogo.com/img/orig/REC.MI-cf1e0e06.png?t=1720244493,,,,🇮🇹 Italy
,66,Eisai,https://us.eisai.com/-/media/Project/EIsai/USEisaiRedesign/media-center/media-kit/Downloadable-Files/Eisai-Logos/CorporateLogomark_allK_png.png,,,,🇯🇵 Japan
,167,kyowa Kirin,https://companieslogo.com/img/orig/4151.T-b80c1a98.png?t=1720244490,,,,🇯🇵 Japan
,168,Catalent,https://companieslogo.com/img/orig/CTLT_BIG.D-6ad6ed2f.png?t=1720244491,TRUE,,,🇺🇸 USA
,269,Aurobindo Pharma,https://companieslogo.com/img/orig/AUROPHARMA.NS.D-1074d9c7.png?t=1721227258,TRUE,,,🇮🇳 India
,170,Mankind Pharma,https://companieslogo.com/img/orig/MANKIND.NS.D-00bcc35c.png?t=1720244492,TRUE,,,🇮🇳 India
,171,Legend Biotech,https://images.ctfassets.net/x75k2igozkgb/7Lkc8eQGDGvBsRTF7cNwwm/77c627b52a1d82370674cdabea162614/LEGEND_Logo_RGB.png,,,,🇺🇸 USA
