Company,Founder/CEO,Approx no. Employees,Change In Rank,Years on Fortune 500,BW logo URL,White on Black,Theme color,Theme Image
Walmart,"Sam Walton, Doug McMillon","2,100,000",–,29,https://cdn-icons-png.flaticon.com/512/5968/5968594.png,,,
Saudi Aramco,Amin H. Nasser,"70,496",4,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7BfvbERL6nmzDIPiIBW94NaZKwd7u6Azpg2oM9S7jYOjmazWqbkF7gGzN-OFzABBY_Pk&usqp=CAU,,,
State Grid,Xin Baoan,"870,287",–,23,https://www.pngkey.com/png/full/101-1014482_state-grid-logo-png-background-logo-da-state.png,,,
Amazon,"Jeff Bezos, Andy Jassy","1,541,000",-2,15,https://seeklogo.com/images/A/amazon-icon-logo-5D44CF81DD-seeklogo.com.png,TRUE,,
China National Petroleum,Zhou Jiping,"1,087,049",-1,23,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJS8R4-TV_zMsW_7QTNcFfnJxcKhI5pcWWVXCOLHIDhDNm4PI4VstbJPggSNru0h3AvGo&usqp=CAU,,,
Sinopec Group,Zhao Dong,"527,487",-1,25,https://iconape.com/wp-content/png_logo_vector/sinopec-group.png,,,
Exxon Mobil,Darren W. Woods,"62,000",5,29,https://www.pngkit.com/png/detail/278-2781029_exxonmobil-logo-black-and-white-exxon-mobil-logo.png,,,
Apple,"Steve Jobs (deceased), Tim Cook","164,000",-1,21,https://seeklogo.com/images/A/apple-logo-E3DBF3AE34-seeklogo.com.png,,,
Shell,"Marcus Samuel, Wael Sawan","93,000",6,29,https://cdn.freebiesupply.com/logos/large/2x/shell-8-logo-png-transparent.png,,,
UnitedHealth Group,"Richard T. Burke, Andrew Witty","400,000",1,27,https://financialmodelingprep.com/image-stock/UNH.png,TRUE,,
CVS Health,Karen S. Lynch,"259,500",-1,28,https://uspto.report/TM/90239500/APP20201010081424/2.jpeg,,,
Trafigura Group,"Jeremy Weir, Jeremy Weir","12,347",7,9,https://mma.prnewswire.com/media/530559/Trafigura_Logo.jpg?p=twitter,,,
China State Construction Engineering,Yu Tao,"382,492",-4,12,https://e7.pngegg.com/pngimages/595/727/png-clipart-architectural-engineering-civil-engineering-china-state-construction-engineering-business-blue-angle-thumbnail.png,,,
Berkshire Hathaway,"Warren Buffett, Warren Buffett","383,000",–,27,"https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/vsnwi4ppyv3n8p3u9y9o",,,
Volkswagen,Oliver Blume,"675,805",-7,29,https://1000logos.net/wp-content/uploads/2019/12/Volkswagen-Logo-1948.png,,,
Uniper,Michael D. Lewis,"7,008",–,5,https://quartr.com/_next/image?url=https%3A%2F%2Ffiles.quartr.com%2Fcompany-icons%2FSquare%25201x%2FUniper%2520SE%2520-%2520Square.png&w=256&q=100,TRUE,,
Alphabet,"Larry Page, Sergey Brin, Sundar Pichai","190,234",–,15,https://www.sec.gov/Archives/edgar/data/1652044/000130817919000205/lgoogx2x1.jpg,,gold,silicon
McKesson,"John McKesson Charles M. Olcott, Brian S.Tyler","48,000",-2,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpMjoASY23sDs6eLPq93u74m9wIOdHH7nZyQ&s,,,
Toyota Motor,"Kiichiro Toyoda, Kōji Satō","375,235",-6,29,https://logos-world.net/wp-content/uploads/2020/05/Toyota-Logo-2020-present.png,,,
TotalEnergies,Patrick Pouyanné,"101,279",7,29,https://www.mm.be/userfiles/media/1622383159apture-d-ecran-2021-05-30-a-15.58.06.jpg,,,
Glencore,Gary Nagle,"81,706",2,13,"https://res.cloudinary.com/benchmarkminerals/images/f_auto,q_auto,w_800,h_418,c_fill,g_auto/v1672358017/www-production/glencore-logo/glencore-logo.png?_i=AA",,,
BP,"William Knox D’Arcy Charles Greenway, Murray Auchincloss","67,600",13,29,https://logos-world.net/wp-content/uploads/2020/08/BP-Logo-2000-present.jpg,,,
Chevron,Mike Wirth,"43,846",14,29,https://logos-world.net/wp-content/uploads/2021/08/Chevron-Emblem.png,,,
Cencora,Steven H. Collis,"41,500",-3,24,https://uspto.report/TM/98330228/mark,,,
Samsung Electronics,"Lee Byung-chul, Kyung Kye-hyun","270,372",-7,29,https://banner2.cleanpng.com/20180711/jfx/aawlbx5jf.webp,,,
Costco Wholesale,"James Sinegal (retired), Jeffrey Brotman(retired), Mr. Vachris","304,000",–,29,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Costco_Wholesale_logo_2010-10-26.svg/1280px-Costco_Wholesale_logo_2010-10-26.svg.png,,,
Hon Hai Precision Industry,Mr. Young Liu,"767,062",-7,19,https://static.brandirectory.com/logos/hony001_hon_hai_precision_industry.png,,,
Industrial & Commercial Bank of China,Gu Shu,"427,587",-6,25,"https://ih1.redbubble.net/image.838190981.5457/flat,750x,075,f-pad,750x1000,f8f8f8.u1.jpg",,,
China Construction Bank,Mr. Zhang Jianguo,"376,682",-5,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl6qKijZanhMMKjA1IscA337DptIWNIlvMog&s,,,
Microsoft,"Bill Gates (stepped down), Satya Nadella","221,000",3,26,https://cdn.icon-icons.com/icons2/2845/PNG/512/microsoft_logo_icon_181372.png,,,
Stellantis,Carlos Tavares,"272,367",-2,18,https://1000logos.net/wp-content/uploads/2024/04/Stellantis-Emblem.png,,,
Agricultural Bank of China,Zhao Huan,"452,258",-4,24,https://e7.pngegg.com/pngimages/228/782/png-clipart-agricultural-bank-of-china-vedanta-hedging-agriculture-logo-world.png,,,
Ping An Insurance,Sean Li,"344,223",-8,14,https://1000logos.net/wp-content/uploads/2023/01/Ping-An-logo.png,,,
Cardinal Health,Mike Kaufmann,"46,035",2,26,https://i.pinimg.com/originals/d5/d9/2b/d5d92bc9f7235717c7a6deefaf2371b5.png,,,
Cigna,David Cordani,"70,231",-5,28,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Cigna_logo.svg/440px-Cigna_logo.svg.png,,,
Marathon Petroleum,Michael J. Hennigan,"17,800",13,12,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Marathon_Petroleum_logo_2022.svg/300px-Marathon_Petroleum_logo_2022.svg.png,,,
Phillips 66,"Brothers Frank, L.E. Phillips, Mark Lashier","13,000",37,11,https://4vector.com/i/free-vector-phillips66-logo_090389_Phillips66_logo.png,,,
Sinochem Holdings,Mr. Jiao,"223,448",-7,2,https://media.licdn.com/dms/image/C560BAQE2VgNiKflAWw/company-logo_200_200/0/1630639979601/_logo?e=2147483647&v=beta&t=BsLarxAeS_7ksY_eA3ZWpc4O5CkczUn4vledWJW4zZI,,,
China Railway Engineering Group,Robert M. Glickmann,"314,792",-5,9,https://media.licdn.com/dms/image/C4E0BAQGaG2QGbksZpQ/company-logo_200_200/0/1630639557920/china_railway_group_limited_logo?e=2147483647&v=beta&t=HF_WuVUGZTlPWrGn0XHNwp1fxVgQzbHEdRvqR5VVTLk,,,
Valero Energy,"William Greehey, Lane Riggs","9,743",42,23,https://logosandtypes.com/wp-content/uploads/2020/08/Valero-Energy.png,,,
Gazprom,Alexey Miller,"468,000",11,27,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Gazprom-Logo.svg/1200px-Gazprom-Logo.svg.png,,,
China National Offshore Oil,Li Fanrong,"81,775",23,17,https://mma.prnewswire.com/media/2051221/CNOOC_Logo_Logo.jpg?p=twitter,,,
China Railway Construction,Robert M. Glickmann,"342,098",-4,12,https://upload.wikimedia.org/wikipedia/en/9/94/Crcc_china_logo.png,,,
China Baowu Steel Group,Chen Derong,"245,675",–,20,https://ceowatermandate.org/wp-content/uploads/2018/11/baowu-logo.jpg,,,
Mitsubishi,"Yataro Iwasaki, Takao Kato","79,706",-4,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1UhIIi8vUH3GqJM3bwXfKbin4VilnZMTHjQ&s,,,
Ford Motor,"Henry Ford (deceased), Jim Farley","173,000",7,29,https://cdn.iconscout.com/icon/free/png-256/free-ford-3215404-2673822.png?f=webp&w=256,,,
Mercedes-Benz Group,Ola Källenius,"168,797",-9,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvRKKLUkCpL_SvSDsPNjea7cjYOgbL9YREDQ&s,,,
Home Depot,"Bernard Marcus, Ted Decker","471,600",-5,29,https://media.designrush.com/inspiration_images/134928/conversions/_1508165135_16_Home-Depot-emblem-mobile.jpg,,,
