id,domain,field,subfield,topic,short-name
https://openalex.org/T12439,Health Sciences,Dentistry,General Dentistry,Impact of COVID-19 on Dental Practice,Dental Practice
https://openalex.org/T11787,Health Sciences,Dentistry,Oral Surgery,Classification and Management of Odontogenic Tumors,Odontogenic Tumors
https://openalex.org/T11363,Health Sciences,Dentistry,Oral Surgery,Cone-Beam Computed Tomography in Dentistry,Cone-Beam Tomography
https://openalex.org/T12145,Health Sciences,Dentistry,Oral Surgery,Dental Anxiety and Anesthetic Management in Dentistry,Dental Anxiety
https://openalex.org/T10359,Health Sciences,Dentistry,Oral Surgery,Dental Implantology and Peri-implant Diseases,Dental Implantology
https://openalex.org/T10536,Health Sciences,Dentistry,Oral Surgery,Endodontic Research and Practice,Endodontic Research
https://openalex.org/T11958,Health Sciences,Dentistry,Orthodontics,Dental Erosion and Tooth Whitening,Dental Erosion
https://openalex.org/T10113,Health Sciences,Dentistry,Orthodontics,Dental Restorative Materials,Restorative Materials
https://openalex.org/T10356,Health Sciences,Dentistry,Orthodontics,Orthodontic Research and Treatment,Orthodontic Research
https://openalex.org/T13324,Health Sciences,Dentistry,Periodontics,Advancements in Dental Research and Treatment,Dental Research
https://openalex.org/T10368,Health Sciences,Dentistry,Periodontics,Global Oral Health and Dental Caries,Dental Caries
https://openalex.org/T11452,Health Sciences,Dentistry,Periodontics,Oral Mucosal Disorders and Malignant Transformation Risk,Mucosal Disorders
https://openalex.org/T10257,Health Sciences,Dentistry,Periodontics,Periodontal Diseases and Oral Microbiome,Periodontal Diseases
https://openalex.org/T10852,Health Sciences,Health Professions,Complementary and Manual Therapy,Diagnosis and Management of Temporomandibular Disorders,Temporomandibular Disorders
https://openalex.org/T13108,Health Sciences,Health Professions,Complementary and Manual Therapy,Therapeutic Applications of Clay Minerals in Health,Clay Minerals
https://openalex.org/T11990,Health Sciences,Health Professions,Emergency Medical Services,Challenges and Solutions in Rural Health Workforce,Rural Health
https://openalex.org/T11430,Health Sciences,Health Professions,Emergency Medical Services,Disaster Response and Public Health Preparedness,Disaster Response
https://openalex.org/T12367,Health Sciences,Health Professions,Emergency Medical Services,Epidemiology and Management of Traumatic Dental Injuries,Dental Injuries
https://openalex.org/T13770,Health Sciences,Health Professions,Emergency Medical Services,Impact of Child Care on Infectious Diseases,Child Care
https://openalex.org/T10508,Health Sciences,Health Professions,Emergency Medical Services,Improving Patient Safety in Healthcare Settings,Patient Safety
https://openalex.org/T10641,Health Sciences,Health Professions,Emergency Medical Services,Management of Vascular Access in Healthcare,Vascular Access
https://openalex.org/T11773,Health Sciences,Health Professions,Emergency Medical Services,Operating Room Planning and Scheduling in Healthcare,Operating Room Planning
https://openalex.org/T10327,Health Sciences,Health Professions,General Health Professions,Adolescent Sexual Health and Behavior Patterns,Sexual Health
https://openalex.org/T10629,Health Sciences,Health Professions,General Health Professions,Advancing Evidence-Based Practice Implementation in Healthcare,Evidence-Based Practice
https://openalex.org/T14358,Health Sciences,Health Professions,General Health Professions,Barriers to Healthcare Access and Quality of Service,Healthcare Access
https://openalex.org/T13695,Health Sciences,Health Professions,General Health Professions,Challenges in Elderly Care and Aging Population,Elderly Care
https://openalex.org/T14118,Health Sciences,Health Professions,General Health Professions,Challenges in Elderly Care and Demographic Transition,Demographic Transition
https://openalex.org/T11590,Health Sciences,Health Professions,General Health Professions,Contribution of Primary Care to Health Systems and Health,Primary Care
https://openalex.org/T12781,Health Sciences,Health Professions,General Health Professions,Determinants of Health Care Expenditure and Longevity,Health Care Expenditure
https://openalex.org/T11832,Health Sciences,Health Professions,General Health Professions,Doctoral Education and Career Development,Doctoral Education
https://openalex.org/T12196,Health Sciences,Health Professions,General Health Professions,Empowerment and Collaboration in Community Health,Community Health
https://openalex.org/T10312,Health Sciences,Health Professions,General Health Professions,Evolution and Challenges of Healthcare in Brazil,Healthcare in Brazil
https://openalex.org/T13883,Health Sciences,Health Professions,General Health Professions,Evolution of Child Health Services in Europe,Child Health Services
https://openalex.org/T14130,Health Sciences,Health Professions,General Health Professions,Evolution of Health Care Systems and Policies,Health Care Systems
https://openalex.org/T11722,Health Sciences,Health Professions,General Health Professions,Factors Influencing Patient Satisfaction with Healthcare,Patient Satisfaction
https://openalex.org/T12681,Health Sciences,Health Professions,General Health Professions,Global Impact of Medical Tourism Industry,Medical Tourism
https://openalex.org/T13822,Health Sciences,Health Professions,General Health Professions,Health and Nutrition of Indigenous Populations in Brazil,Indigenous Health
https://openalex.org/T13423,Health Sciences,Health Professions,General Health Professions,Health and Social Care in Aging Societies,Aging Societies
https://openalex.org/T12614,Health Sciences,Health Professions,General Health Professions,Health and Well-being of Arctic Indigenous Peoples,Arctic Indigenous Health
https://openalex.org/T12595,Health Sciences,Health Professions,General Health Professions,Health Disparities in Roma Population,Health Disparities
https://openalex.org/T11959,Health Sciences,Health Professions,General Health Professions,Health Effects of Precarious Employment and Unemployment,Employment Health Effects
https://openalex.org/T12480,Health Sciences,Health Professions,General Health Professions,Health Locus of Control and Promoting Behaviors,Health Locus of Control
https://openalex.org/T13022,Health Sciences,Health Professions,General Health Professions,Health Surveys in Germany and Public Health Research,Health Surveys
https://openalex.org/T13242,Health Sciences,Health Professions,General Health Professions,Healthcare Disparities in Men's Reproductive Health,Reproductive Health Disparities
https://openalex.org/T13896,Health Sciences,Health Professions,General Health Professions,Healthcare Policy and System Reform,Healthcare Policy
https://openalex.org/T14186,Health Sciences,Health Professions,General Health Professions,Healthcare Policy Reforms and Inequalities in France,Policy Reforms
https://openalex.org/T10795,Health Sciences,Health Professions,General Health Professions,Impact of Burnout on Healthcare Professionals and Students,Healthcare Burnout
https://openalex.org/T14463,Health Sciences,Health Professions,General Health Professions,Impact of COVID-19 Pandemic on Health and Society,COVID-19 Impact
https://openalex.org/T11610,Health Sciences,Health Professions,General Health Professions,Impact of Food Insecurity on Health Outcomes,Food Insecurity
https://openalex.org/T10737,Health Sciences,Health Professions,General Health Professions,Impact of Health Literacy on Health Outcomes,Health Literacy
https://openalex.org/T13099,Health Sciences,Health Professions,General Health Professions,Impact of Healthcare Legislation on Practice and Ethics,Healthcare Legislation
https://openalex.org/T12847,Health Sciences,Health Professions,General Health Professions,Impact of Healthcare Workforce on Public Health,Healthcare Workforce
